Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total,Gold/Total Ratio
2,People's Republic of China,38,32,18,88,2,0.43
3,Japan,27,14,17,58,5,0.47
4,Great Britain,22,21,22,65,4,0.34
5,ROC,20,28,23,71,3,0.28
6,Australia,17,7,22,46,6,0.37
7,Netherlands,10,12,14,36,9,0.28
8,France,10,12,11,33,10,0.3
9,Germany,10,11,16,37,8,0.27
10,Italy,10,10,20,40,7,0.25
11,Canada,7,6,11,24,11,0.29
12,Brazil,7,6,8,21,12,0.33
13,New Zealand,7,6,7,20,13,0.35
14,Cuba,7,3,5,15,18,0.47
15,Hungary,6,7,7,20,13,0.3
16,Republic of Korea,6,4,10,20,13,0.3
17,Poland,4,5,5,14,19,0.29
18,Czech Republic,4,4,3,11,23,0.36
19,Kenya,4,4,2,10,25,0.4
20,Norway,4,2,2,8,29,0.5
21,Jamaica,4,1,4,9,26,0.44
22,Spain,3,8,6,17,17,0.18
23,Sweden,3,6,0,9,26,0.33
24,Switzerland,3,4,6,13,20,0.23
25,Denmark,3,4,4,11,23,0.27
26,Croatia,3,3,2,8,29,0.38
27,Islamic Republic of Iran,3,2,2,7,33,0.43
28,Serbia,3,1,5,9,26,0.33
29,Belgium,3,1,3,7,33,0.43
30,Bulgaria,3,1,2,6,39,0.5
31,Slovenia,3,1,1,5,42,0.6
32,Uzbekistan,3,0,2,5,42,0.6
33,Georgia,2,5,1,8,29,0.25
34,Chinese Taipei,2,4,6,12,22,0.17
35,Turkey,2,2,9,13,20,0.15
36,Greece,2,1,1,4,47,0.5
36,Uganda,2,1,1,4,47,0.5
38,Ecuador,2,1,0,3,60,0.67
39,Ireland,2,0,2,4,47,0.5
39,Israel,2,0,2,4,47,0.5
41,Qatar,2,0,1,3,60,0.67
42,Bahamas,2,0,0,2,66,1
42,Kosovo,2,0,0,2,66,1
44,Ukraine,1,6,12,19,16,0.05
45,Belarus,1,3,3,7,33,0.14
46,Romania,1,3,0,4,47,0.25
46,Venezuela,1,3,0,4,47,0.25
48,India,1,2,4,7,33,0.14
49,"Hong Kong, China",1,2,3,6,39,0.17
50,Philippines,1,2,1,4,47,0.25
50,Slovakia,1,2,1,4,47,0.25
52,South Africa,1,2,0,3,60,0.33
53,Austria,1,1,5,7,33,0.14
54,Egypt,1,1,4,6,39,0.17
55,Indonesia,1,1,3,5,42,0.2
56,Ethiopia,1,1,2,4,47,0.25
56,Portugal,1,1,2,4,47,0.25
58,Tunisia,1,1,0,2,66,0.5
59,Estonia,1,0,1,2,66,0.5
59,Fiji,1,0,1,2,66,0.5
59,Latvia,1,0,1,2,66,0.5
59,Thailand,1,0,1,2,66,0.5
63,Bermuda,1,0,0,1,77,1
63,Morocco,1,0,0,1,77,1
63,Puerto Rico,1,0,0,1,77,1
66,Colombia,0,4,1,5,42,0
67,Azerbaijan,0,3,4,7,33,0
68,Dominican Republic,0,3,2,5,42,0
69,Armenia,0,2,2,4,47,0
70,Kyrgyzstan,0,2,1,3,60,0
71,Mongolia,0,1,3,4,47,0
72,Argentina,0,1,2,3,60,0
72,San Marino,0,1,2,3,60,0
74,Jordan,0,1,1,2,66,0
74,Malaysia,0,1,1,2,66,0
74,Nigeria,0,1,1,2,66,0
77,Bahrain,0,1,0,1,77,0
77,Saudi Arabia,0,1,0,1,77,0
77,Lithuania,0,1,0,1,77,0
77,North Macedonia,0,1,0,1,77,0
77,Namibia,0,1,0,1,77,0
77,Turkmenistan,0,1,0,1,77,0
83,Kazakhstan,0,0,8,8,29,0
84,Mexico,0,0,4,4,47,0
85,Finland,0,0,2,2,66,0
86,Botswana,0,0,1,1,77,0
86,Burkina Faso,0,0,1,1,77,0
86,Côte d'Ivoire,0,0,1,1,77,0
86,Ghana,0,0,1,1,77,0
86,Grenada,0,0,1,1,77,0
86,Kuwait,0,0,1,1,77,0
86,Republic of Moldova,0,0,1,1,77,0
86,Syrian Arab Republic,0,0,1,1,77,0
